ano,mes,id_municipio,id_estado,regiao_ssp,homicidio_doloso,numero_de_vitimas_em_homicidio_doloso,homicidio_doloso_por_acidente_de_transito,numero_de_vitimas_em_homicidio_doloso_por_acidente_de_transito,homicidio_culposo_por_acidente_de_transito,homicidio_culposo_outros,tentativa_de_homicidio,lesao_corporal_seguida_de_morte,lesao_corporal_dolosa,lesao_corporal_culposa_por_acidente_de_transito,lesao_corporal_culposa_outras,latrocinio,numero_de_vitimas_em_latrocinio,total_de_estupro,estupro,estupro_de_vulneravel,total_de_roubo_outros,roubo_outros,roubo_de_veiculo,roubo_a_banco,roubo_de_carga,furto_outros,furto_de_veiculo
2019,1,3550308,35,Capital,55,56,0,0,66,3,71,2,2565,1106,89,6,6,214,61,153,10980,10672,1747,1,307,17270,2847
2019,2,3550308,35,Capital,48,48,0,0,31,4,57,2,2495,988,98,4,5,186,67,119,10206,9948,1585,1,257,19468,2866
2019,3,3550308,35,Capital,75,85,0,0,31,0,64,0,2662,1170,97,3,3,238,72,166,11810,11509,1796,2,299,23693,3031
2019,4,3550308,35,Capital,59,59,0,0,22,0,69,1,2793,1255,172,3,3,229,60,169,11141,10844,1865,1,296,18730,3274
2019,5,3550308,35,Capital,45,50,0,0,47,1,67,1,2429,1285,104,7,7,199,58,141,11547,11263,1914,1,283,20480,3450
2019,6,3550308,35,Capital,46,48,1,1,30,1,55,3,2270,1156,99,8,8,177,59,118,12486,12185,1802,2,299,19312,3117
2019,7,3550308,35,Capital,53,55,2,2,34,4,57,0,2305,1229,94,3,3,198,47,151,12019,11667,1688,2,350,17946,3367
2019,8,3550308,35,Capital,40,42,0,0,38,1,60,2,2283,1238,87,3,4,209,55,154,12258,11945,1616,1,312,18647,3389
2019,9,3550308,35,Capital,52,57,0,0,26,2,67,2,2389,1122,103,8,8,253,77,176,11540,11283,1525,0,257,17166,3058
2019,10,3550308,35,Capital,62,66,0,0,36,1,56,3,2618,1356,131,2,2,302,84,218,12485,12134,1772,1,350,18952,3380
2019,11,3550308,35,Capital,62,63,0,0,28,4,66,2,2527,1161,111,2,2,248,71,177,12274,11956,1858,1,317,17955,3193
2019,12,3550308,35,Capital,53,56,0,0,32,3,57,4,2528,1080,134,15,15,210,61,149,12388,11963,2061,0,425,16947,2359
2018,1,3550308,35,Capital,54,58,1,1,26,3,86,1,2412,985,101,5,5,232,83,149,11534,11169,2128,2,363,15373,3419
2018,2,3550308,35,Capital,64,68,0,0,27,2,65,2,2373,1037,57,7,7,224,73,151,11982,11622,2212,2,358,22852,3315
2018,3,3550308,35,Capital,58,62,2,2,33,1,79,2,2676,1249,112,3,3,242,76,166,11380,10975,2215,2,403,15895,3568
2018,4,3550308,35,Capital,55,56,2,2,37,5,57,2,2379,1254,73,8,9,218,75,143,11767,11383,2263,1,383,15265,3425
2018,5,3550308,35,Capital,64,66,2,2,26,0,46,1,2387,1166,71,5,5,234,73,161,12516,12178,2427,5,333,16520,3322
2018,6,3550308,35,Capital,49,51,1,1,33,4,63,1,2346,1154,81,8,8,181,58,123,11553,11228,2166,2,323,16343,3121
2018,7,3550308,35,Capital,57,67,0,0,28,2,54,1,2253,1144,81,8,8,183,63,120,10399,10045,1980,4,350,16070,3337
2018,8,3550308,35,Capital,52,57,0,0,38,1,54,1,2175,1150,89,5,5,221,66,155,11035,10674,2070,3,358,17143,3615
2018,9,3550308,35,Capital,46,50,1,1,34,4,58,0,2328,1077,115,12,12,219,69,150,10327,10029,2034,1,297,15524,3374
2018,10,3550308,35,Capital,56,58,2,2,36,3,60,0,2410,1181,92,8,9,230,56,174,11959,11607,2367,3,349,18273,3782
2018,11,3550308,35,Capital,51,60,0,0,32,3,58,1,2382,1094,72,7,7,204,56,148,11672,11319,2402,0,353,16764,3514
2018,12,3550308,35,Capital,66,70,1,1,42,1,69,2,2427,1078,98,4,4,202,50,152,10465,10103,2596,1,361,15776,2603
2017,1,3550308,35,Capital,55,58,2,2,26,1,77,1,2426,1129,89,13,13,205,66,139,13012,12488,2881,5,519,14252,3227
2017,2,3550308,35,Capital,70,77,0,0,33,4,63,0,2495,1116,77,11,12,187,65,122,13007,12493,2776,6,508,18323,3329
2017,3,3550308,35,Capital,63,66,2,2,36,2,74,0,2746,1405,107,10,10,221,84,137,14927,14337,3023,4,586,18006,3980
2017,4,3550308,35,Capital,76,86,1,1,49,1,84,0,2437,1274,75,7,7,159,52,107,12480,12066,2705,3,411,14409,3529
2017,5,3550308,35,Capital,45,50,2,2,46,5,82,0,2384,1440,90,15,15,225,85,140,13870,13372,2751,5,493,16486,3886
2017,6,3550308,35,Capital,49,53,1,1,37,2,67,0,2293,1321,80,17,17,190,64,126,12933,12419,2545,3,511,16424,3443
2017,7,3550308,35,Capital,44,49,2,2,37,1,51,0,2265,1390,64,10,10,197,65,132,12168,11718,2619,2,448,15541,3538
2017,8,3550308,35,Capital,51,58,2,2,22,2,55,0,2500,1335,125,7,7,190,74,116,12842,12316,2597,2,524,16728,3751
2017,9,3550308,35,Capital,58,60,2,4,25,3,62,0,2708,1190,84,2,2,222,76,146,11876,11480,2532,1,395,15368,3527
2017,10,3550308,35,Capital,51,58,1,2,22,3,64,1,2763,1190,89,7,7,279,103,176,12441,11980,2662,4,457,16613,3837
2017,11,3550308,35,Capital,70,76,2,3,26,1,60,0,2500,1105,80,9,9,262,101,161,11723,11296,2667,4,423,15760,3731
2017,12,3550308,35,Capital,81,86,2,2,36,3,68,1,2702,1138,79,9,9,209,91,118,11327,10853,2676,2,472,15776,2769
